Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Diabetes Mellitus	12	0.16216216	7.20405405	2.43e-8	1.35e-5	4.32e-6	hsa-mir-186,hsa-mir-486-2,hsa-mir-181c,hsa-mir-550a-3,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-130b,hsa-mir-30a,hsa-mir-550a-1,hsa-mir-550a-2,hsa-mir-92a-2,hsa-mir-155
Disease	Diabetes Mellitus, Type 2	14	0.0952381	4.23095238	1.35e-6	7.52e-4	1.04e-4	hsa-mir-550a-3,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-550a-2,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-550a-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-486-2,hsa-mir-27a
Disease	Digestive System Neoplasms	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-155
Disease	Down Syndrome	3	0.25	11.10625	2.02e-3	1	0.031	hsa-mir-99a,hsa-mir-27a,hsa-mir-155
Disease	Early-Stage Breast Carcinoma	2	0.11764706	5.22647059	0.0543	1	0.341	hsa-mir-139,hsa-mir-155
Disease	Encephalomyelitis	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Endometrial Neoplasms	3	0.25	11.10625	2.02e-3	1	0.031	hsa-mir-186,hsa-mir-27a,hsa-mir-155
Disease	Enterovirus Infection	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-155
Disease	Epilepsy	4	0.14814815	6.58148148	2.66e-3	1	0.0364	hsa-mir-139,hsa-mir-181c,hsa-mir-30a,hsa-mir-155
Disease	Fatty Liver, Non-Alcoholic	1	0.06666667	2.96166667	0.2903	1	1	hsa-mir-155
Disease	Fungal Keratitis	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Gallstones	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Disease	Gastrointestinal Neoplasms	11	0.13414634	5.95945122	8.01e-7	4.45e-4	7.12e-5	hsa-mir-150,hsa-mir-139,hsa-mir-106a,hsa-mir-181c,hsa-mir-130b,hsa-mir-335,hsa-mir-222,hsa-mir-100,hsa-mir-27a,hsa-mir-155,hsa-mir-378c
Disease	Gastrojejunal Ulcer	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-155
Disease	Glioblastoma	14	0.08284024	3.68017751	7.49e-6	4.16e-3	3.80e-4	hsa-mir-486-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-100,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-222,hsa-mir-139,hsa-mir-486-2,hsa-mir-106a,hsa-mir-130b,hsa-mir-151a
Disease	Glomerulonephritis	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-155
Disease	Gout	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-155
Disease	Graft-Versus-Host Disease	2	0.11111111	4.93611111	0.0602	1	0.3717	hsa-mir-30a,hsa-mir-155
Disease	Graves' Disease	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-155
Disease	Head And Neck Neoplasms	3	0.08333333	3.70208333	0.0452	1	0.2929	hsa-let-7b,hsa-mir-130b,hsa-mir-155
Disease	Heart Failure	14	0.11666667	5.18291667	1.01e-7	5.61e-5	1.38e-5	hsa-mir-186,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-222,hsa-mir-150,hsa-mir-139,hsa-mir-500a,hsa-mir-130b,hsa-mir-27a,hsa-mir-378c
Disease	Hematologic Neoplasms	6	0.17647059	7.83970588	7.47e-5	0.0416	2.29e-3	hsa-mir-378c,hsa-mir-92a-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150
Disease	Hepatitis B Virus Infection	7	0.10447761	4.64141791	5.47e-4	0.3043	0.0113	hsa-mir-186,hsa-mir-30a,hsa-mir-29b-1,hsa-mir-99a,hsa-mir-151a,hsa-mir-27a,hsa-mir-155
Disease	Hepatitis C Virus Infection	8	0.09195402	4.08505747	5.07e-4	0.2819	0.0106	hsa-mir-29b-1,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-629,hsa-mir-27a
Disease	Human Immunodeficiency Virus Infection	8	0.17021277	7.56170213	5.28e-6	2.93e-3	3.12e-4	hsa-let-7b,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Human Papilloma Virus Infection	3	0.08823529	3.91985294	0.039	1	0.299	hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Idiopathic Pulmonary Fibrosis	5	0.33333333	14.80833333	1.14e-5	6.34e-3	5.06e-4	hsa-mir-30a,hsa-mir-186,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	IgA Nephropathy	2	0.4	17.77	4.73e-3	1	0.0565	hsa-mir-100,hsa-mir-155
Disease	Intracerebral Haemorrhage	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-155
Disease	Ischemia-Reperfusion Injury	3	0.13043478	5.79456522	0.0137	1	0.1275	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	Japanese Encephalitis Virus Infection	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Kawasaki's Syndrome	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-155
Disease	Keratitis	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Disease	Kidney Diseases [unspecific]	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-155
Disease	Kidney Injury	4	0.14285714	6.34642857	3.05e-3	1	0.0399	hsa-mir-30a,hsa-mir-151a,hsa-mir-155,hsa-mir-150
Disease	Kidney Transplant Rejection	5	0.45454545	20.19318182	1.87e-6	1.04e-3	1.33e-4	hsa-mir-99a,hsa-mir-486-2,hsa-mir-486-1,hsa-mir-155,hsa-mir-150
Disease	Leukemia	11	0.1641791	7.29365672	9.29e-8	5.16e-5	1.38e-5	hsa-mir-139,hsa-mir-486-2,hsa-mir-181c,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-339,hsa-mir-199b,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155,hsa-mir-378c
Disease	Leukemia, B-Cell	3	0.21428571	9.51964286	3.24e-3	1	0.0417	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	Leukemia, Lymphocytic, Chronic	3	0.07317073	3.25060976	0.0624	1	0.3787	hsa-mir-29b-1,hsa-mir-155,hsa-mir-150
Disease	Leukemia, Lymphocytic, Chronic, B-Cell	7	0.20588235	9.14632353	5.86e-6	3.26e-3	3.36e-4	hsa-mir-181c,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-151a,hsa-mir-92a-2,hsa-mir-155
Disease	Leukemia, Myeloid, Acute, Pediatric	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-335,hsa-mir-155
Disease	Leukemia, Myeloid, Chronic	4	0.05970149	2.65223881	0.0609	1	0.3705	hsa-let-7b,hsa-mir-199b,hsa-mir-155,hsa-mir-378c
Disease	Liposarcoma	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Liver Cirrhosis	5	0.0877193	3.89692982	7.92e-3	1	0.0828	hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155
Disease	Liver Injury	3	0.2	8.885	3.99e-3	1	0.0489	hsa-let-7b,hsa-mir-151a,hsa-mir-155
Disease	Lung Neoplasms	11	0.1	4.4425	1.57e-5	8.74e-3	6.49e-4	hsa-mir-186,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-150,hsa-mir-486-2,hsa-mir-106a,hsa-mir-629
Disease	Lupus Nephritis	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-130b,hsa-mir-155,hsa-mir-150
Disease	Lymphoma	6	0.1	4.4425	1.80e-3	1	0.0297	hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-155,hsa-mir-92a-2,hsa-mir-150
Disease	Lymphoma, B-Cell	4	0.16666667	7.40416667	1.69e-3	0.9405	0.0284	hsa-mir-150,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	Lymphoma, Burkitt's	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-29b-1,hsa-mir-155,hsa-mir-150
Disease	Lymphoma, Hodgkin	1	0.04545455	2.01931818	0.3958	1	1	hsa-mir-155
Disease	Lymphoma, Large B-Cell, Diffuse	5	0.13157895	5.84539474	1.30e-3	0.7234	0.0231	hsa-mir-339,hsa-mir-222,hsa-mir-151a,hsa-mir-155,hsa-mir-150
Disease	Lymphoma, Large-Cell, Anaplastic	4	0.33333333	14.80833333	9.58e-5	0.0533	2.75e-3	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150
Disease	Lymphoma, Non-Hodgkin	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-155
Disease	Lymphoma, T-Cell	4	0.15384615	6.83461538	2.30e-3	1	0.0338	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155
Disease	Lymphoma, T-Cell, Cutaneous	2	0.66666667	29.61666667	1.46e-3	0.8127	0.0255	hsa-mir-155,hsa-mir-150
Disease	Macular Degeneration	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-let-7b,hsa-mir-155
Disease	Male Infertility	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-335,hsa-mir-629,hsa-mir-155
Disease	Malignant Neoplasms [unspecific]	6	0.12	5.331	6.76e-4	0.3761	0.0135	hsa-mir-186,hsa-let-7b,hsa-mir-335,hsa-mir-29b-1,hsa-mir-27a,hsa-mir-155
Disease	Mesial Temporal Lobe Epilepsy	1	0.05555556	2.46805556	0.3375	1	1	hsa-mir-155
Disease	Multiple Myeloma	6	0.1	4.4425	1.80e-3	1	0.0297	hsa-mir-186,hsa-let-7b,hsa-mir-335,hsa-mir-29b-1,hsa-mir-155,hsa-mir-150
Disease	Multiple Sclerosis	7	0.14893617	6.61648936	5.52e-5	0.0307	1.82e-3	hsa-mir-92a-1,hsa-mir-30a,hsa-mir-100,hsa-mir-629,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155
Disease	Muscular Dystrophy	4	0.13793103	6.12758621	3.49e-3	1	0.0439	hsa-mir-30a,hsa-mir-222,hsa-mir-155,hsa-mir-150
Disease	Mycobacterium Tuberculosis Infection	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-30a,hsa-mir-155,hsa-mir-150
Disease	Mycosis Fungoides	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Disease	Myelodysplastic Syndromes	3	0.10714286	4.75982143	0.0234	1	0.2033	hsa-mir-222,hsa-mir-155,hsa-mir-378c
Disease	Myeloproliferative Neoplasms	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-155
Disease	Myocardial Infarction	6	0.11538462	5.12596154	8.38e-4	0.4661	0.016	hsa-mir-186,hsa-mir-106a,hsa-mir-29b-1,hsa-mir-151a,hsa-mir-155,hsa-mir-150
Disease	Myocardial Ischemic-Reperfusion Injury	1	0.0625	2.7765625	0.3064	1	1	hsa-mir-155
Disease	Narcolepsy	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-155
Disease	Neoplasms [unspecific]	19	0.09134615	4.05805288	1.28e-8	7.10e-6	3.24e-6	hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-27a,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-486-2,hsa-mir-106a,hsa-mir-629
Disease	Neuroinflammation	2	0.18181818	8.07727273	0.0239	1	0.2062	hsa-mir-139,hsa-mir-155
Disease	Non-Traumatic Subarachnoid Hemorrhage	2	0.18181818	8.07727273	0.0239	1	0.2062	hsa-mir-155,hsa-mir-150
Disease	Obesity	6	0.11764706	5.22647059	7.54e-4	0.4192	0.0149	hsa-mir-130b,hsa-mir-30a,hsa-mir-335,hsa-mir-27a,hsa-mir-155,hsa-mir-378c
Disease	Oral Lichen Planus	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-155
Disease	Osteosarcoma	15	0.0877193	3.89692982	1.45e-6	8.09e-4	1.08e-4	hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-100,hsa-mir-155,hsa-mir-181c,hsa-mir-664a,hsa-mir-335,hsa-mir-92a-2,hsa-mir-150,hsa-mir-379,hsa-mir-486-2,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a
Disease	Ovarian Neoplasms	11	0.10377358	4.61014151	1.09e-5	6.07e-3	4.97e-4	hsa-mir-486-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-335,hsa-mir-486-2,hsa-mir-339,hsa-mir-629,hsa-mir-151a,hsa-mir-27a
Disease	Pancreatic Neoplasms	9	0.140625	6.24726563	6.53e-6	3.63e-3	3.62e-4	hsa-mir-186,hsa-let-7b,hsa-mir-486-2,hsa-mir-106a,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-27a,hsa-mir-155
Disease	Pneumonia	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-155
Disease	Polycystic Ovarian Syndrome	4	0.13793103	6.12758621	3.49e-3	1	0.0439	hsa-mir-486-2,hsa-mir-486-1,hsa-mir-199b,hsa-mir-155
Disease	Polycythemia Vera	5	0.25	11.10625	5.42e-5	0.0301	1.82e-3	hsa-mir-150,hsa-mir-339,hsa-mir-222,hsa-mir-155,hsa-mir-378c
Disease	Preeclampsia	7	0.09459459	4.20236486	1.01e-3	0.5604	0.0187	hsa-let-7b,hsa-mir-106a,hsa-mir-335,hsa-mir-29b-1,hsa-mir-222,hsa-mir-27a,hsa-mir-155
Disease	Pregnancy Complications [unspecific]	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Disease	Psoriasis	4	0.12121212	5.38484848	5.63e-3	1	0.0653	hsa-mir-106a,hsa-mir-99a,hsa-mir-155,hsa-mir-150
Disease	Respiratory Syncytial Virus Pneumonia	1	0.05555556	2.46805556	0.3375	1	1	hsa-mir-155
Disease	Rheumatoid Arthritis	7	0.12962963	5.7587963	1.38e-4	0.0769	3.78e-3	hsa-mir-106a,hsa-mir-92a-1,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155
Disease	Rhinosinusitis	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	Sepsis	6	0.17647059	7.83970588	7.47e-5	0.0416	2.29e-3	hsa-mir-486-2,hsa-mir-486-1,hsa-mir-30a,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Sjogren's Syndrome	2	0.5	22.2125	2.88e-3	1	0.0391	hsa-mir-155,hsa-mir-335
Disease	Squamous Cell Carcinoma, Esophageal	10	0.07042254	3.12852113	8.14e-4	0.4524	0.0157	hsa-mir-186,hsa-mir-100,hsa-mir-155,hsa-let-7b,hsa-mir-335,hsa-mir-150,hsa-mir-139,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a
Disease	Squamous Cell Carcinoma, Head and Neck	5	0.10416667	4.62760417	3.76e-3	1	0.0467	hsa-mir-106a,hsa-mir-30a,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	2	0.07142857	3.17321429	0.1295	1	0.5597	hsa-mir-139,hsa-mir-155
Disease	Squamous Cell Carcinoma, Oral	7	0.08433735	3.74668675	2.00e-3	1	0.0312	hsa-mir-186,hsa-mir-139,hsa-mir-29b-1,hsa-mir-222,hsa-mir-99a,hsa-mir-27a,hsa-mir-155
Disease	Stroke	4	0.10810811	4.8027027	8.51e-3	1	0.0879	hsa-let-7b,hsa-mir-29b-1,hsa-mir-155,hsa-mir-150
Disease	Stroke, Ischemic	6	0.17647059	7.83970588	7.47e-5	0.0416	2.29e-3	hsa-let-7b,hsa-mir-130b,hsa-mir-30a,hsa-mir-199b,hsa-mir-155,hsa-mir-150
Disease	Systemic Lupus Erythematosus	5	0.09090909	4.03863636	6.80e-3	1	0.076	hsa-mir-181c,hsa-mir-335,hsa-mir-629,hsa-mir-155,hsa-mir-150
Disease	Systemic Sclerosis	2	0.22222222	9.87222222	0.0161	1	0.1467	hsa-mir-30a,hsa-mir-155
Disease	Thrombocytopenia	2	1	44.425	4.94e-4	0.2748	0.0107	hsa-mir-99a,hsa-mir-155
Disease	Toxoplasma gondii Infection	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-155
Disease	Traumatic Brain Injury	2	0.16666667	7.40416667	0.0283	1	0.2359	hsa-mir-155,hsa-mir-150
Disease	Tuberculosis	2	0.15384615	6.83461538	0.033	1	0.2674	hsa-mir-29b-1,hsa-mir-155
Disease	Tuberculosis, Pulmonary	1	0.03846154	1.70865385	0.4491	1	1	hsa-mir-155
Disease	Unstable Angina	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Uveal Melanoma	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-155
Disease	Vascular Diseases [unspecific]	1	0.03703704	1.64537037	0.4617	1	1	hsa-mir-155
Disease	Viral Myocarditis	2	0.2	8.885	0.0198	1	0.1728	hsa-mir-222,hsa-mir-155
Disease	Vitiligo	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-155
Disease	Waldenstrom Macroglobulinemia	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-155
Disease	Brain Neoplasms	3	0.125	5.553125	0.0154	1	0.1419	hsa-mir-181c,hsa-mir-598,hsa-mir-222
Disease	Pituitary Adenoma	2	0.10526316	4.67631579	0.0664	1	0.371	hsa-mir-598,hsa-mir-130b
Disease	Adenocarcinoma, Ampullary	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Disease	Adenocarcinoma, Gastric-Esophageal Junction	1	0.06666667	2.96166667	0.2903	1	1	hsa-mir-222
Disease	Arteriosclerosis Obliterans	3	0.16666667	7.40416667	6.82e-3	1	0.0753	hsa-mir-222,hsa-mir-92a-1,hsa-mir-92a-2
Disease	Carcinoma, Adenoid Cystic	2	0.28571429	12.69285714	9.66e-3	1	0.0976	hsa-let-7b,hsa-mir-222
Disease	Carcinoma, Endometrial	3	0.05172414	2.29784483	0.1395	1	0.5989	hsa-let-7b,hsa-mir-29b-1,hsa-mir-222
Disease	Carcinoma, Thyroid, Anaplastic	2	0.16666667	7.40416667	0.0283	1	0.2359	hsa-mir-99a,hsa-mir-222
Disease	Cardiomyopathy, Hypertrophic	5	0.09090909	4.03863636	6.80e-3	1	0.076	hsa-mir-106a,hsa-mir-30a,hsa-mir-222,hsa-mir-99a,hsa-mir-150
Disease	Carotid Artery Diseases	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-222
Disease	Central Nervous System Embryonal Tumor	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-222
Disease	Chronic Heart Failure	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-150,hsa-mir-222
Disease	Diabetes Mellitus, Gestational	5	0.2173913	9.6576087	1.12e-4	0.0622	3.11e-3	hsa-mir-92a-1,hsa-mir-130b,hsa-mir-222,hsa-mir-92a-2,hsa-mir-27a
Disease	Epstein-Barr Virus Infection	1	0.05555556	2.46805556	0.3375	1	1	hsa-mir-222
Disease	Hepatoblastoma	2	0.07692308	3.41730769	0.1144	1	0.5282	hsa-mir-222,hsa-mir-150
Disease	Intervertebral Disc Degeneration	3	0.23076923	10.25192308	2.59e-3	1	0.0371	hsa-mir-27a,hsa-mir-222,hsa-mir-100
Disease	Kaposi's Sarcoma	6	0.22222222	9.87222222	1.85e-5	0.0103	7.30e-4	hsa-let-7b,hsa-mir-335,hsa-mir-199b,hsa-mir-222,hsa-mir-100,hsa-mir-99a
Disease	Leukemia, Lymphoblastic, Acute	5	0.20833333	9.25520833	1.39e-4	0.0773	3.74e-3	hsa-let-7b,hsa-mir-222,hsa-mir-100,hsa-mir-99a,hsa-mir-150
Disease	Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic	2	0.22222222	9.87222222	0.0161	1	0.1467	hsa-mir-339,hsa-mir-222
Disease	Lymphoma, Primary Effusion	2	0.15384615	6.83461538	0.033	1	0.2674	hsa-let-7b,hsa-mir-222
Disease	Marek Disease	2	0.5	22.2125	2.88e-3	1	0.0391	hsa-mir-222,hsa-mir-150
Disease	Multiple Sporadic Gastrointestinal Stromal Tumor	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Disease	Pleural Mesothelioma	3	0.09375	4.16484375	0.0334	1	0.2683	hsa-mir-379,hsa-mir-335,hsa-mir-222
Disease	Prostate Neoplasms	11	0.14666667	6.51566667	3.13e-7	1.74e-4	3.47e-5	hsa-mir-486-2,hsa-mir-106a,hsa-mir-486-1,hsa-mir-130b,hsa-mir-330,hsa-mir-29b-1,hsa-mir-222,hsa-mir-100,hsa-mir-629,hsa-mir-99a,hsa-mir-27a
Disease	Pulmonary Sarcoidosis	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-222
Disease	Sciatic Nerve Injury	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-222
Disease	Thyroid Lymphoma	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-222
Disease	Thyroid Neoplasms	1	0.0625	2.7765625	0.3064	1	1	hsa-mir-222
Disease	Vascular Injuries	5	0.38461538	17.08653846	5.05e-6	2.81e-3	3.21e-4	hsa-mir-27a,hsa-mir-222,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-100
Disease	Acute Ischemic Stroke	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-mir-335,hsa-mir-330
Disease	Adenocarcinoma, Esophageal	2	0.09090909	4.03863636	0.086	1	0.4603	hsa-mir-330,hsa-mir-378c
Disease	Carcinoma, Urothelial, Upper Tract	4	0.12903226	5.73225806	4.47e-3	1	0.054	hsa-let-7b,hsa-mir-181c,hsa-mir-664a,hsa-mir-330
Disease	Costello Syndrome	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-330
Disease	Cutaneous Melanoma	4	0.21052632	9.35263158	6.69e-4	0.3722	0.0135	hsa-let-7b,hsa-mir-330,hsa-mir-199b,hsa-mir-150
Disease	Myeloma	2	0.125	5.553125	0.0486	1	0.3084	hsa-mir-330,hsa-mir-29b-1
Disease	Neuropsychiatric Disorders [unspecific]	4	0.18181818	8.07727273	1.20e-3	0.6689	0.0218	hsa-mir-550a-3,hsa-mir-550a-1,hsa-mir-330,hsa-mir-550a-2
Disease	Bronchopulmonary Dysplasia	2	0.125	5.553125	0.0486	1	0.3084	hsa-mir-29b-1,hsa-mir-130b
Disease	Diabetic Nephropathy	2	0.08333333	3.70208333	0.0999	1	0.4974	hsa-mir-130b,hsa-mir-30a
Disease	Digeorge Syndrome	3	0.5	22.2125	2.02e-4	0.1122	5.35e-3	hsa-mir-181c,hsa-mir-130b,hsa-mir-150
Disease	Lung Fibrosis	3	0.13636364	6.05795455	0.0121	1	0.1162	hsa-mir-486-2,hsa-mir-130b,hsa-mir-486-1
Disease	Pulmonary Hypertension	3	0.08333333	3.70208333	0.0452	1	0.2929	hsa-mir-130b,hsa-mir-29b-1,hsa-mir-27a
Disease	Schizophrenia	6	0.11320755	5.02924528	9.30e-4	0.5169	0.0176	hsa-mir-92a-1,hsa-mir-130b,hsa-mir-30a,hsa-mir-335,hsa-mir-29b-1,hsa-mir-92a-2
Disease	Scleroderma, Systemic	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-130b
Disease	Adenocarcinoma, Colon	1	0.04347826	1.93152174	0.4096	1	1	hsa-mir-30a
Disease	Alcoholic Hepatitis	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-30a
Disease	Aortic Stenosis	2	0.08	3.554	0.1071	1	0.5302	hsa-mir-106a,hsa-mir-30a
Disease	Bladder Outlet Obstruction	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-mir-30a,hsa-mir-29b-1
Disease	Carcinoma, Ovarian, Serous	4	0.16666667	7.40416667	1.69e-3	0.9405	0.0284	hsa-mir-106a,hsa-mir-92a-1,hsa-mir-30a,hsa-mir-92a-2
Disease	Carcinoma, Renal Cell, Clear-Cell	4	0.06896552	3.0637931	0.0389	1	0.3008	hsa-mir-30a,hsa-mir-335,hsa-mir-629,hsa-mir-27a
Disease	Carcinoma, Urothelial	4	0.26666667	11.84666667	2.52e-4	0.1399	6.39e-3	hsa-mir-30a,hsa-mir-27a,hsa-mir-99a,hsa-mir-100
Disease	Celiac Disease	1	0.1	4.4425	0.2041	1	0.785	hsa-mir-30a
Disease	Chondrosarcoma	2	0.0952381	4.23095238	0.0793	1	0.4321	hsa-mir-30a,hsa-mir-100
Disease	Ectopic Pregnancy	1	0.07692308	3.41730769	0.2569	1	0.9077	hsa-mir-30a
Disease	Focal Segmental Glomerulosclerosis	2	0.11764706	5.22647059	0.0543	1	0.341	hsa-mir-30a,hsa-mir-186
Disease	Giant Cell Tumor of Bone	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-30a
Disease	Influenza	4	0.15384615	6.83461538	2.30e-3	1	0.0338	hsa-let-7b,hsa-mir-106a,hsa-mir-30a,hsa-mir-150
Disease	Liver Neoplasms	4	0.16	7.108	1.98e-3	1	0.0314	hsa-mir-486-2,hsa-mir-486-1,hsa-mir-30a,hsa-mir-629
Disease	Malignant Peripheral Nerve Sheath Tumor	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-30a
Disease	Mandibular Prognathism	3	0.21428571	9.51964286	3.24e-3	1	0.0417	hsa-mir-30a,hsa-mir-629,hsa-mir-150
Disease	Maternal Obesity During Childbirth	2	0.13333333	5.92333333	0.0431	1	0.3275	hsa-mir-30a,hsa-mir-150
Disease	Medulloblastoma	2	0.06666667	2.96166667	0.1449	1	0.6206	hsa-mir-30a,hsa-mir-199b
Disease	Muscle Diseases [unspecific]	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-30a
Disease	Nephrotic Syndrome	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-30a
Disease	Neuroblastoma	6	0.10169492	4.51779661	1.65e-3	0.9179	0.0279	hsa-let-7b,hsa-mir-181c,hsa-mir-92a-1,hsa-mir-30a,hsa-mir-335,hsa-mir-92a-2
Disease	Ovarian Serous Cystadenocarcinoma	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-30a
Disease	Parkinson's Disease	3	0.07317073	3.25060976	0.0624	1	0.3787	hsa-mir-106a,hsa-mir-30a,hsa-mir-29b-1
Disease	Peritoneal Dialysis Failure	3	0.09677419	4.29919355	0.0307	1	0.2503	hsa-mir-30a,hsa-mir-335,hsa-mir-100
Disease	Prolactinoma	5	0.33333333	14.80833333	1.14e-5	6.34e-3	5.06e-4	hsa-mir-30a,hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-92a-2
Disease	Interstitial Cystitis	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-mir-500a
Disease	HIV-Associated Lipodystrophy	1	0.03571429	1.58660714	0.474	1	1	hsa-mir-186
