"GSM2552104"	"GSM2552105"	"GSM2552106"	"GSM2552107"	"GSM2552108"	"GSM2552109"	"GSM2552110"	"GSM2552111"	"GSM2552112"	"GSM2552113"	"GSM2552114"	"GSM2552115"	"GSM2552116"	"GSM2552117"	"GSM2552118"	"GSM2552119"	"GSM2552120"	"GSM2552121"	"GSM2552122"	"GSM2552123"	"GSM2552124"	"GSM2552125"	"GSM2552126"	"GSM2552127"	"GSM2552128"	"GSM2552129"	"GSM2552130"	"GSM2552131"	"GSM2552132"	"GSM2552133"	"GSM2552134"	"GSM2552135"	"GSM2552136"	"GSM2552137"	"GSM2552138"	"GSM2552139"	"GSM2552140"	"GSM2552141"	"GSM2552142"
"hsa_miR_937_5p"	6.754077	6.101022	5.729948	6.565431	6.866982	5.087802	6.762653	5.870745	5.813429	5.888058	7.024646	6.938303	7.316731	6.450249	6.265111	8.731703	6.807836	7.406996	5.982252	6.467157	6.15674	6.494462	6.230188	6.774777	6.570647	7.172065	6.843893	6.65069	7.173102	6.229594	6.258091	5.768418	6.009738	7.280801	7.605424	7.859556	6.677519	6.634486	6.136902
"hsa_miR_937_3p"	1.154323	0.7567773	0.928512	0.6973929	0.9023215	0.7900815	0.5223606	0.7679006	1.813137	1.065658	1.001164	0.7738425	0.9374346	0.9859937	1.286404	0.6815242	0.888697	0.5496346	1.354551	0.8706626	0.9879813	1.440562	1.115079	0.9046049	1.189232	1.352873	0.7014897	1.075378	0.660135	1.09564	1.080018	1.289326	0.8326255	0.6923313	0.6420478	0.8684536	1.101679	0.8570449	0.4290464
"hsa_miR_938"	1.318629	0.7346243	0.9402784	0.9143456	1.054031	0.7113531	1.136271	1.197817	1.186028	1.00796	1.141336	1.328341	1.029628	0.9256502	1.293222	1.029628	0.8375645	1.350233	0.9867874	1.022637	0.8436954	1.175686	0.9849281	1.287692	0.5934805	1.396285	0.9888071	0.7949883	0.8683198	1.329637	1.325651	0.7493365	0.7791896	0.8025327	0.5978552	1.20669	0.714858	0.8165765	1.088105
"hsa_miR_939_5p"	3.721554	2.833198	2.872316	2.822529	3.718945	3.850256	3.575597	3.010021	3.877429	3.235504	3.484007	4.275863	4.462494	2.960891	2.491139	4.716645	3.317946	3.531812	4.065125	3.756983	3.450679	2.575003	4.216845	3.915025	3.442295	4.53334	3.76308	3.014769	4.339896	3.866508	3.24153	2.8567	4.332197	3.157447	5.440942	4.249236	2.951163	4.312261	3.508698
"hsa_miR_939_3p"	0.7545918	1.997206	1.522346	1.37708	1.66293	1.507605	0.9081079	0.8631397	0.7646296	0.7602803	1.089809	1.716906	0.9293203	1.213254	0.7834747	1.204857	1.778365	1.318267	1.45986	0.7005428	0.9093379	1.240934	1.002716	0.7646296	0.8408834	0.9840298	0.9389017	0.786038	1.259455	1.14625	1.061866	0.6526594	1.059295	1.05193	1.968429	0.791201	0.9532863	0.8278263	1.278111
"hsa_miR_940"	2.545706	2.594143	3.035154	2.803935	3.850677	3.128563	3.000876	2.710108	2.599385	2.288294	1.686849	1.846458	3.404006	3.672649	3.053927	3.957719	2.878557	2.674127	2.522526	2.815949	3.406332	4.434045	2.14478	2.170143	1.994513	2.983788	1.789958	2.57611	2.892265	2.553554	3.020671	3.014519	2.538183	2.816306	2.189814	1.981091	3.292663	1.515087	3.294592
"hsa_miR_941"	6.819301	3.559223	3.47319	6.965256	4.719722	5.73048	5.79268	4.343391	6.507661	4.477734	6.216244	4.521803	4.206583	1.302258	5.438059	3.084374	5.011006	4.881511	7.26235	6.179998	6.413913	4.330704	4.565114	5.895615	5.487904	3.826479	4.931231	5.391729	5.227661	5.024064	6.959225	4.76549	6.036436	4.242661	4.267917	7.180205	3.662068	1.126219	5.866669
"hsa_miR_942_5p"	0.9580523	0.9173077	0.8240926	0.7154107	0.8180733	0.7952973	1.189206	0.9040589	0.6012994	1.051106	0.8593458	0.9187262	0.7325986	0.7501144	1.081981	0.9333935	0.9024093	0.8120365	0.955355	0.8324445	1.115924	0.8132575	1.434114	1.14752	0.7352833	0.7244049	0.8710592	1.070841	1.051106	0.642025	1.077995	0.7827441	0.9783776	0.7761865	1.11342	0.8230138	0.6894193	1.525373	0.7942044
"hsa_miR_942_3p"	1.769167	1.298423	1.349363	1.593456	1.168296	0.6600178	1.14291	1.5024	1.461239	1.77035	1.433028	1.330209	0.9993947	0.9354897	0.8054874	1.406792	1.038985	0.8975705	1.238125	1.280569	1.177842	1.584176	1.637269	1.993655	0.6267429	0.8242877	1.299097	1.256113	1.507043	1.167515	1.868057	0.6973929	2.133652	1.136352	1.443836	1.066518	1.238125	1.000659	1.055986
"hsa_miR_943"	2.303358	1.407139	1.882949	2.062698	2.435793	1.130348	2.378722	2.700604	2.750725	1.266948	1.662532	2.914633	1.335025	1.177488	1.215172	1.830177	2.427291	1.086768	1.756844	1.846557	1.56553	1.104066	2.459914	1.59273	1.262004	1.887591	2.069613	1.484098	1.910401	1.754853	1.84568	2.13154	2.145826	1.021743	2.403946	2.693496	1.876024	2.231421	2.690072
"hsa_miR_944"	0.8420737	0.9399728	1.015138	1.055238	0.982926	1.015736	0.8078454	0.8451805	0.8489686	0.8406751	0.8339795	0.8952389	0.7082928	1.186342	0.9813509	1.064233	1.067705	1.132644	0.8555957	0.8088611	0.8026278	1.339933	0.7688675	0.4955084	1.094756	0.7644427	0.8013026	0.571041	0.6623729	0.8511811	0.8013026	0.7481258	0.8312004	0.819285	0.8227764	0.9146498	0.9140142	0.7171663	0.5658252
"hsa_miR_297"	1.547212	1.514433	1.131179	4.154727	3.158802	2.054708	4.207417	1.256712	1.452744	1.055537	1.389401	0.9134769	1.425091	0.7570926	1.366483	0.5041807	1.809211	0.9488402	5.166902	1.120888	1.736086	1.107679	1.448774	1.183032	0.916527	1.8574	1.282806	2.037132	2.991336	3.667721	2.854694	0.7035396	2.415052	1.094319	1.138066	1.240938	0.9771345	0.6624658	0.9532046
"hsa_miR_1178_5p"	0.8651532	0.9683708	0.7404424	0.7865563	0.4865285	1.103451	0.6959803	0.8882393	0.8126869	1.279091	0.5531796	1.510768	0.5663597	0.8230926	0.7343115	0.6915794	0.7022343	0.919521	0.6567441	0.7748998	0.6438594	0.8590021	0.7277734	0.7700322	0.7411864	0.8242877	0.9119625	1.455264	0.9098756	1.044844	0.749248	1.026685	1.707057	0.8070462	0.9057765	0.5576204	0.6554952	0.7087828	0.5546954
"hsa_miR_1178_3p"	1.163934	0.5153896	0.5102581	0.9401217	0.886048	1.132957	0.541628	1.09221	0.8078454	0.8502858	0.8188457	0.9941434	0.8406751	0.7132161	0.9813509	1.421288	0.7070036	0.9123167	0.6219041	0.7761865	0.6472391	0.6567441	0.7205691	0.6545794	0.7689822	1.032334	0.5975259	0.7780593	0.9132553	0.9939598	0.5131812	0.8902286	0.6390179	0.4827392	0.9538437	1.252391	0.9857006	0.8360474	1.270132
"hsa_miR_1179"	0.6885688	0.5299469	0.7658761	0.6140494	1.071969	0.7710824	0.8381206	0.8440771	0.8381206	1.084048	1.146765	0.7479492	0.6567441	0.9893596	0.7184596	0.8440771	1.024848	0.5793374	0.8768909	0.4450511	0.892343	0.5912694	0.5876173	0.9646199	1.125031	0.8585271	0.7883301	0.7647879	1.219741	0.7537328	0.8723373	0.6967326	1.142815	1.233784	0.65805	0.698815	0.9971839	0.5649349	1.006565
"hsa_miR_1180_5p"	1.355783	1.525678	1.42006	2.085802	1.220828	1.08272	1.376896	1.502074	1.81523	1.377857	1.105873	2.36328	2.107161	1.875907	1.434114	0.8389651	1.586196	1.645988	2.286365	1.775789	1.526387	1.295333	1.91711	1.14752	1.480666	1.851679	1.688834	2.064167	1.630878	1.371314	1.792168	2.120853	1.116812	1.986752	1.154323	1.981091	1.682646	1.775789	1.105562
"hsa_miR_1180_3p"	4.027585	2.950327	2.308798	3.900874	2.303383	4.232248	4.20656	4.015301	4.965126	1.633901	5.767743	2.517639	4.081492	2.512897	4.706689	2.666116	4.682729	3.97678	3.654691	4.985979	4.516645	3.200155	4.348569	3.936344	6.051661	2.968373	3.95924	5.4286	1.95209	2.244245	4.936139	5.128087	3.957949	4.653577	2.218853	3.429518	6.037208	6.135345	2.723819
"hsa_miR_1181"	2.944277	1.196012	2.717133	1.317883	1.508502	2.876886	2.519959	1.508502	1.765691	1.266948	1.945756	2.36328	2.416014	1.559627	1.434114	1.599913	1.265188	1.713323	2.231625	1.56728	1.503315	1.206001	3.316062	1.28479	1.688447	1.519853	2.01477	1.47657	1.970795	1.495383	1.960847	2.09224	1.318724	1.27714	0.8593168	3.686347	2.238132	1.749947	1.896855
"hsa_miR_1182"	1.227995	1.264897	1.333691	1.130856	1.194924	0.9963512	1.515203	1.425483	1.316913	1.027701	1.022012	1.202887	1.13941	0.8096458	1.271338	1.625307	1.066663	1.205536	1.358608	1.457842	0.653411	1.040738	1.266941	1.696759	0.9309201	1.480452	1.744644	1.4011	1.307921	1.371313	2.32566	1.366662	1.699302	1.03354	1.381312	1.737029	1.498653	1.332601	2.32566
"hsa_miR_1183"	0.8804514	0.827985	1.420559	0.897295	1.906596	2.354773	2.112505	4.346408	1.28907	1.760998	1.021304	1.323566	1.66293	1.312894	1.1481	2.295734	1.560292	3.153687	2.141073	1.160112	1.216874	1.110587	0.9359525	2.182354	2.140921	0.9910366	1.629446	1.717706	1.530235	1.847457	5.114767	1.742776	1.671459	1.151569	1.799606	1.272195	0.8893214	2.859362	1.389368
"hsa_miR_1184"	4.129968	5.320473	4.514138	5.079809	4.204522	5.699708	3.894861	5.199525	2.927078	4.96363	5.208945	4.318176	4.834331	5.129031	4.118819	4.184182	4.68574	5.79392	5.117895	4.696549	4.605333	4.632805	4.230901	4.035549	5.332135	3.991175	4.81637	4.248473	4.999045	4.564855	4.216578	5.762138	3.15647	2.798093	4.235766	4.727718	5.982675	5.116445	4.67367
"hsa_miR_1225_5p"	4.831199	4.767017	3.760852	3.924408	4.696164	2.53273	3.570989	3.208885	4.574141	2.326388	4.167994	5.232002	4.720997	3.687668	3.550824	5.475019	3.732888	3.232169	5.206182	4.810627	3.624016	2.036641	3.835351	4.554859	3.193404	4.434751	3.699177	3.674048	5.469871	3.971829	3.836219	3.645265	3.736196	5.496106	6.024033	4.87947	2.865437	4.841122	2.089158
"hsa_miR_1225_3p"	1.178559	0.8660896	1.537616	1.234863	1.142885	1.53891	1.533767	1.157028	0.9293124	1.325192	1.212384	1.582114	1.649843	0.904393	1.223228	1.514372	1.22259	0.7860175	1.049189	1.140305	1.732005	1.932613	1.102596	1.045854	1.26978	0.9193279	1.30132	1.808075	1.115904	1.395549	1.327435	1.232751	1.583242	1.187215	0.9434363	1.62097	1.508496	1.007776	1.361482
"hsa_miR_1226_5p"	2.895643	2.151965	1.851704	2.567132	2.141646	1.601581	1.419865	1.94132	2.626786	2.63648	3.153005	2.713102	3.445836	3.053508	1.802726	3.746379	2.402275	2.158535	3.785805	3.084107	1.422495	1.955155	2.504704	2.27894	3.344612	2.066423	2.415162	1.776303	3.407439	2.634219	2.607773	3.473713	2.803518	3.989145	2.980541	3.826483	2.417279	3.525003	1.641078
"hsa_miR_1226_3p"	1.469289	1.267091	1.238941	2.39536	2.527795	1.969485	1.268964	1.774183	3.417793	2.525653	4.747753	2.226668	1.647147	1.973567	2.407537	2.033884	2.113397	1.277763	1.390438	2.300459	1.706767	1.260674	2.727053	2.015605	2.275594	0.8367545	1.217899	3.306756	1.524666	1.788301	2.357938	2.279258	1.814739	0.9420699	1.296249	1.266948	1.819461	2.218273	1.205194
"hsa_miR_1227_5p"	7.763569	7.653136	7.064245	7.893066	7.725549	7.240431	7.201747	7.002869	7.17559	6.75	7.920317	8.543481	8.1678	7.244968	7.646171	7.982469	7.080097	7.240566	6.866431	7.524272	6.924236	6.800687	7.426715	7.386165	7.119328	7.699841	7.58882	6.683007	7.640119	7.694466	7.089948	7.919334	6.828712	8.330227	8.325382	7.779578	7.65113	7.637215	7.310214
"hsa_miR_1227_3p"	1.285621	1.006854	1.241115	1.190604	0.9559069	1.300037	0.9228073	1.380225	1.04871	0.6600178	0.8779839	0.9621204	1.341667	1.007071	1.169722	1.102264	0.9972286	0.8111613	1.530056	1.116069	0.9780608	1.033103	1.171954	1.074068	1.010121	0.9319241	1.277084	1.11493	1.108237	1.068523	0.8667053	0.9838229	1.134938	1.711573	1.227111	1.334307	0.6696761	0.6124858	1.04225
"hsa_miR_1228_5p"	9.287823	9.614728	8.894425	9.538242	9.6343	9.51102	9.533253	9.156839	8.621787	8.872609	9.40327	9.968942	10.0849	9.188889	9.386951	10.38552	9.148855	9.319773	9.577602	9.341529	8.810145	8.833538	9.509066	9.251755	9.542216	9.151006	9.837049	8.481244	9.761559	9.694148	8.764473	9.883133	8.736118	9.771008	10.29745	9.88927	9.74865	9.576784	9.389126
"hsa_miR_1228_3p"	2.176416	2.562792	2.543872	2.303463	3.420194	2.602096	3.334199	2.217582	2.557869	2.444252	2.279348	2.472538	2.915197	2.80441	2.99707	3.293088	2.566806	2.176416	1.391113	2.749042	2.489684	3.572476	2.629766	1.9358	2.77375	2.540081	2.052557	2.681095	1.722428	2.367976	2.505651	3.004988	2.794351	2.695799	2.396859	2.098544	2.444252	2.125504	2.252107
"hsa_miR_1229_5p"	4.000152	2.646399	2.668265	3.851533	4.819765	3.764239	3.522382	3.529328	3.689952	1.831143	3.575689	3.125343	4.296367	3.539285	1.038047	6.574953	3.505442	2.981692	4.382874	4.064003	3.058286	2.265425	3.877045	3.845978	4.398401	4.713647	5.071946	3.045891	5.261553	2.565091	4.004561	3.647597	3.93902	3.394365	4.946625	4.098072	4.761528	4.624358	2.474313
"hsa_miR_1229_3p"	0.6727606	0.8217402	0.6889839	1.215083	1.001164	0.8844598	1.487645	0.9208894	1.123664	1.059309	1.260643	1.479192	1.221136	1.063462	0.9952457	0.6084848	0.814387	1.633978	1.644793	1.42144	0.9687127	1.364837	1.030101	1.09799	1.28479	0.9700986	1.510956	1.811854	1.102818	1.015059	1.448009	1.126619	1.925289	0.7900813	1.397866	1.118687	1.125158	1.372577	1.311952
"hsa_miR_1231"	5.543163	4.439609	4.116143	5.343988	4.218195	4.528224	4.357061	2.746852	5.253742	3.438018	6.015018	6.922374	6.481392	5.377079	5.264272	5.378005	5.34289	5.011482	3.558959	5.38717	4.422009	4.023656	4.714652	5.142655	3.802967	4.35301	5.262974	3.657636	5.096178	4.549173	3.770636	5.779406	4.630425	5.871061	6.176089	6.237805	4.661555	5.764373	4.433696
"hsa_miR_1233_5p"	7.768829	6.539215	6.13658	6.297922	6.383802	6.082973	6.213014	6.350306	6.330465	6.535838	6.861461	7.245906	7.201778	6.476186	6.289207	6.704497	6.221858	6.270326	5.72218	6.37686	4.868781	5.03023	6.668246	5.942901	6.586776	6.020587	6.370656	5.49911	5.807337	6.236989	6.333076	6.580938	6.156662	7.005187	6.921198	7.342861	5.956452	6.707715	6.067642
"hsa_miR_1233_3p"	0.8871174	1.218804	1.371314	1.207095	1.021807	1.192987	1.480006	1.764449	1.558223	1.247132	0.9624816	0.7905402	1.731608	0.9134771	1.241944	1.074956	1.178056	1.123664	1.502781	1.496162	1.043778	1.415156	0.8992577	1.545383	1.515331	0.7111987	1.607063	1.400479	1.858624	1.088419	1.778231	2.755142	1.005183	1.387017	1.193803	1.517724	1.0494	1.200006	1.294567
"hsa_miR_1234_3p"	1.098291	1.701186	0.9672781	3.298311	1.874369	2.867649	1.889724	2.581557	1.798953	1.564994	0.8539273	1.123664	2.129395	2.241219	1.417837	2.308872	1.963174	2.16028	1.657423	1.48426	1.3951	1.746346	1.236434	1.28479	1.934888	1.684669	1.728151	1.644455	1.75007	1.858533	2.172596	1.964292	2.462401	1.206282	2.225501	1.981091	2.951687	1.35808	1.560292
"hsa_miR_1236_5p"	1.942934	3.532653	1.371314	1.425483	2.116819	1.435417	1.40345	1.09811	2.085538	1.474946	1.187556	0.8504131	1.016051	1.514436	2.079517	1.649516	0.9921449	0.919521	4.625787	5.733679	1.293066	0.8293336	1.521332	4.438483	1.413362	1.149852	0.9119625	2.241253	4.316877	1.326169	1.538321	1.447551	1.976955	3.245622	1.995009	1.242121	1.006174	1.524306	1.189466
"hsa_miR_1236_3p"	1.099996	0.8508753	1.488434	1.363068	1.102205	1.209889	1.527095	0.6734244	1.024381	1.370319	1.082929	0.8752937	1.040878	0.6461387	1.217898	0.7577848	1.232495	1.020562	1.098268	1.159099	0.553164	1.458818	1.168378	1.886151	1.182913	0.5549544	0.8737792	0.9784383	1.891585	1.414343	0.7870611	0.9912693	1.005484	1.033525	0.8361205	0.953935	1.006075	1.094773	1.279483
"hsa_miR_1237_5p"	10.60014	10.71905	10.05367	10.5523	10.73365	10.69611	10.64764	10.24209	9.952621	10.15809	10.80978	11.34724	11.53754	10.58294	10.64737	11.15332	10.53411	10.64267	10.49535	10.46947	9.890687	9.948985	10.88143	10.20142	10.85035	10.32804	10.84028	9.803781	10.52521	10.65289	9.795971	11.11896	9.722882	10.8916	10.89567	11.24726	10.65312	10.87933	10.55082
"hsa_miR_1237_3p"	0.8515427	1.30252	1.940477	1.819032	0.8240829	2.028653	0.9058042	1.620084	1.944806	0.854378	1.657093	1.311097	2.064174	1.126695	2.062251	1.346031	1.532476	1.592268	1.953827	1.785454	1.152798	1.056846	1.4126	1.560106	1.297636	1.252861	1.285616	0.9326779	1.392345	1.302358	1.971962	1.379554	1.076336	1.260938	1.059007	1.80401	1.582219	1.305949	0.7898895
"hsa_miR_1238_5p"	0.9989555	1.462001	0.9666826	0.8769407	1.158004	0.8809977	1.214741	1.011543	1.369741	1.518985	1.439642	1.332612	1.808712	1.344074	1.194499	1.261858	0.9284744	0.7761796	1.260075	1.413816	1.286772	1.129833	1.436631	1.126014	1.909427	1.303219	1.009606	1.1094	1.439289	1.592293	1.73015	1.738303	1.393239	0.9971665	1.377395	1.133739	0.8214368	1.424624	0.9574495
"hsa_miR_1238_3p"	1.412414	0.8139605	1.667229	1.022307	2.399737	1.497743	1.477859	2.077757	1.602675	0.9885015	1.695216	1.588229	1.497743	1.568395	1.964292	1.9126	1.91789	1.005504	2.314181	1.742351	1.427512	0.9602009	1.202338	1.425483	1.166198	1.33191	1.064529	0.955484	1.494212	0.8830049	0.7250971	1.660672	2.446602	1.54477	2.16028	0.6375552	1.163125	2.660256	1.071306
"hsa_miR_1200"	0.7367196	1.499773	0.7486	0.8735249	0.808964	1.035092	0.8208445	0.873146	0.9531803	1.279947	0.8106246	0.9100612	0.6578627	0.7407725	0.6450773	0.6533283	0.863917	0.8913504	1.056356	0.7727708	0.9015762	0.8712703	0.442486	0.8768636	0.8883564	0.8254063	0.8837918	0.4092775	0.6401366	0.6894288	0.6509136	1.256619	0.8399802	0.7761865	0.5696846	0.8650357	1.231905	0.7996556	1.035092
"hsa_miR_1202"	3.945917	2.207177	2.525493	4.268706	3.454913	2.112154	1.71451	2.4305	3.158802	1.615553	2.554694	2.130544	3.892081	2.702302	2.870957	6.485625	2.488263	1.726077	4.004427	2.885125	2.960838	1.704052	2.568187	4.235819	3.493641	4.390801	3.640906	2.361859	6.098198	1.93101	2.697377	2.282946	3.535353	3.698984	3.786241	3.437655	1.679312	2.878868	1.431395
"hsa_miR_1203"	2.190444	1.188436	1.669174	0.8039483	1.038071	1.727459	1.14752	1.067352	1.236169	0.773642	1.783904	1.222658	1.138536	0.8471264	1.434114	1.545933	1.619694	1.217381	1.09795	1.347221	1.314832	1.258114	1.188363	1.14752	1.146753	0.8243819	1.015206	1.553974	1.141899	1.058978	1.679608	1.58265	1.455835	1.050662	1.154323	1.000168	0.7337657	0.8869696	1.188089
"hsa_miR_663b"	2.85471	1.395479	2.290975	2.204223	3.505765	1.575295	3.110772	3.396968	3.538878	3.396968	2.647486	3.492451	2.997635	2.126538	2.34385	3.938404	1.892967	3.84643	1.761959	2.449194	1.668664	1.730052	2.167741	4.961419	4.156337	4.536918	3.166165	2.792189	3.903711	2.725297	3.39056	2.231185	4.385767	2.949498	3.379413	1.91864	1.783959	3.34502	3.403014
"hsa_miR_1204"	1.113466	0.8689461	0.6061987	1.116338	0.7019449	0.9254476	0.7178447	0.7339168	0.6993193	0.7193491	0.5622416	0.7209182	0.9017758	0.4014015	0.6571866	0.8973012	0.7039427	0.6869165	1.267284	0.8786641	1.177842	1.07836	1.261922	1.291339	0.9165272	1.089447	0.9119625	0.7567242	1.304687	0.7869693	1.192029	0.6973929	0.5304918	1.010999	0.604405	1.266948	0.911584	0.8871576	0.8974369
"hsa_miR_1205"	0.9399889	0.6157737	0.9876016	0.7832197	0.8078454	1.167221	0.9410931	0.9225358	1.163313	0.8406751	0.515123	1.064697	0.9739228	1.054025	0.9167224	1.248073	0.8029073	1.064697	0.9324425	1.052769	1.001006	0.9184414	0.8288522	1.056957	0.690557	0.9430326	0.4698689	1.455264	1.174126	0.9610739	0.9034408	0.9125955	0.9783776	0.6673505	0.9834149	1.066518	1.282442	0.913653	1.025298
"hsa_miR_1206"	0.9432881	0.9260374	1.115347	1.057297	0.9489726	0.6278443	0.6589512	1.016176	1.264791	0.6834587	1.212383	0.7099218	0.8340765	0.725073	1.157292	0.8040271	0.8573184	1.09149	0.8144423	0.919521	1.025594	0.8584467	0.7320594	0.8478594	1.274731	1.223366	0.856295	0.7108552	0.8233091	0.7956527	0.7870612	1.082646	0.9573734	0.8959999	1.102175	1.010851	1.204408	0.8271903	0.8902285
"hsa_miR_1207_5p"	7.734979	6.687963	7.171417	7.373861	8.096635	6.984915	7.662241	7.691298	6.256252	7.274709	7.7388	7.502447	8.121396	7.711801	6.808239	8.213792	7.494457	8.179774	7.51492	7.076322	6.613071	6.390292	8.315275	7.227574	8.033284	8.128048	8.203641	6.914823	7.671746	7.343961	8.012238	6.949739	7.229988	8.340446	9.344226	7.874213	7.734542	8.207736	7.593291
"hsa_miR_1207_3p"	1.329879	1.100174	0.698864	0.9828518	1.078111	0.7638146	1.14752	0.7453985	1.110846	0.5432047	1.254044	0.761362	0.8883272	0.5322804	0.8251349	1.117917	1.016972	0.7149558	1.223338	1.30252	0.944586	1.471459	0.9469098	0.9050342	0.5245412	0.6189381	1.504357	1.058023	1.231126	0.5723832	0.6543294	0.5681817	0.8848846	0.9933276	0.5254693	0.9409562	0.9600861	0.7337832	0.9171606
"hsa_miR_1208"	1.682298	1.375606	1.286218	0.7704788	0.8809314	1.328368	1.585582	0.9598293	1.30252	1.660949	1.797651	0.9688235	1.303419	1.538321	0.8756903	0.9874356	0.9678278	0.7831199	0.6567441	0.8492725	0.7928926	1.057901	1.07836	0.9781201	1.171292	0.5996074	1.163586	1.056173	0.8902993	0.7382747	1.538321	1.382226	1.343812	0.5525759	1.016394	1.015152	1.41131	1.004755	0.831533
"hsa_miR_548e_5p"	1.182056	0.9651695	1.287516	0.6113763	0.7180865	0.91763	0.7459016	0.7737558	0.9194071	0.5034837	0.7633765	0.7909521	1.173947	1.170902	1.189465	0.7091966	0.7791844	0.8858761	1.13248	1.064732	1.329879	1.211429	0.8050157	0.8602979	0.8534288	1.19417	0.8500186	0.9870435	1.041643	1.134233	1.101682	0.9674709	0.8305552	1.215432	1.231565	0.4627872	0.9050342	0.7669678	1.086426
"hsa_miR_548e_3p"	1.26967	1.283425	0.988484	0.8578455	1.001164	0.8266529	1.099537	0.9007092	0.8482952	0.9078222	1.001661	0.7041622	0.7076194	0.9779856	1.04586	1.663427	1.017469	1.104568	0.847113	0.8234595	1.081481	0.8546579	0.961849	0.5787601	0.9165271	0.8247849	0.4882191	0.9543298	0.872354	1.072954	0.8343342	1.362668	0.9231922	1.016176	0.8461909	1.314221	0.8954866	0.8750992	1.05641
"hsa_miR_548j_5p"	0.6635879	1.28203	1.203849	1.357282	0.9329632	0.9853586	0.912177	1.18465	0.8059021	1.190036	0.9326844	1.051651	0.8784131	1.112992	0.9055344	0.9325432	0.629192	1.015329	1.06757	1.194185	1.016972	1.299314	0.8498331	0.9050342	1.408653	1.1841	1.132916	1.594729	1.121264	1.227203	0.7341352	1.116098	1.21039	1.172621	0.9308404	0.6738892	1.027094	0.8776981	0.925639
"hsa_miR_548j_3p"	0.933717	0.6786473	1.254305	0.8472	1.268329	1.033974	1.057595	0.8015311	1.109457	1.606557	0.836838	0.8706092	1.168985	0.9134769	1.146598	0.8766388	1.149141	0.9195209	0.9200209	1.272779	1.251247	0.7635283	1.027364	0.7259619	1.28479	1.058452	1.155644	1.213246	0.9050341	1.189465	0.7870612	1.035492	0.8141385	0.9042932	0.7388145	1.173302	0.7572485	1.157138	1.530551
"hsa_miR_1285_5p"	0.9888982	0.8023694	1.025596	1.143759	0.7694306	1.318928	0.6919687	1.011543	0.9838555	1.304201	1.12128	0.8422962	1.040878	0.6118967	1.098362	0.9250013	0.9010953	1.007787	0.7555122	1.021142	1.038034	1.497169	0.5580733	0.9094663	1.36479	0.6281423	0.828608	1.583851	0.8296217	1.072019	1.314066	1.018815	1.049233	0.8118592	1.225178	0.9506415	0.937091	1.004755	1.135595
"hsa_miR_1285_3p"	2.466041	3.698279	3.327946	1.834902	3.622808	4.005286	3.466491	3.846528	5.157006	4.54215	4.580447	2.205732	3.051081	3.174672	4.361597	2.111702	3.760852	2.111219	4.041048	4.217648	3.945072	3.763617	3.91335	4.015069	2.966059	4.513629	3.546096	4.794106	4.275699	3.827997	4.83572	3.46422	4.807162	1.332421	1.534814	3.693725	3.633132	2.620651	2.245061
"hsa_miR_1286"	0.7356009	1.499773	1.215147	0.772636	1.323106	0.7338239	0.7319872	0.7486676	0.8830885	1.123475	0.8839397	0.8610269	0.9879922	0.9867921	1.087089	0.9231805	1.092215	0.6203411	1.157699	0.919521	0.9577816	1.160412	0.9745008	0.8026575	1.358105	1.099947	0.6553761	1.099947	0.8026575	1.027348	1.75036	1.393347	0.8222116	0.8495016	0.9981568	0.9488208	1.076899	0.8540099	1.218009
"hsa_miR_1287_5p"	1.234631	2.065053	2.471683	0.8160732	1.263052	0.6600178	1.641779	2.066761	3.93676	1.034483	1.796453	1.013253	0.9800104	1.224536	1.545658	1.187205	1.397861	1.644359	1.284351	2.123164	3.020746	1.493024	1.909833	2.258887	0.7985383	1.271684	2.068177	3.432417	1.724044	1.310446	4.65164	1.746912	3.233971	1.496202	0.7816824	1.661769	1.002809	1.632857	1.28724
"hsa_miR_1287_3p"	1.587051	1.544894	0.8148912	0.5299469	0.439509	1.050463	1.375852	1.288357	1.243939	1.119112	1.080454	0.793	0.9822974	1.617611	2.456456	0.9154907	0.9432072	1.014698	1.11224	1.255501	1.062093	1.07836	1.49353	1.470603	0.8554767	1.023659	0.9344034	1.209094	0.9050342	0.7284893	1.617611	1.226209	2.48139	0.9967883	0.6429762	0.5702922	0.7301152	0.9071164	0.9357897
"hsa_miR_1289"	1.340014	0.8655484	0.6041906	0.9346436	0.866938	1.044109	1.205223	0.8952931	0.866938	0.8406751	1.001164	0.3381411	1.305776	0.7176385	0.6569479	1.051013	0.7075278	0.7176385	0.6011091	0.8653042	1.162617	0.6567441	0.6797091	0.6569479	0.9274942	0.8136781	0.6578044	0.6299151	0.5308586	0.8339021	0.8685716	0.7973611	1.134938	1.00937	0.5877204	0.8297323	0.9000846	0.8379611	0.7660517
"hsa_miR_1290"	2.932338	2.364552	1.9033	1.563431	3.158802	1.774213	1.045849	0.8362005	4.408312	0.9023339	0.8722834	1.094344	0.9023339	1.094344	1.189465	1.204952	1.078631	1.30483	1.462697	0.9195209	1.706767	1.140019	1.703025	2.16028	1.097394	0.9516673	0.6047301	3.821532	2.581557	2.502918	1.218476	1.28479	3.49194	1.561716	3.408817	1.389704	0.666389	0.771174	1.06697
